timestamp,irradiance,ambient_temperature,humidity,wind_speed,dust_index,rain_index,cloud_cover
2025-02-09 01:44:25.141142,0.0,15.2,62.5,3.31,8.1,0.0,0.0
2025-02-09 01:59:25.141142,0.0,15.1,67.8,2.87,18.1,0.0,0.0
2025-02-09 02:14:25.141142,0.0,18.1,63.6,2.89,5.7,0.0,0.0
2025-02-09 02:29:25.141142,0.0,15.6,71.8,3.04,8.9,0.0,0.0
2025-02-09 02:44:25.141142,0.0,14.8,66.5,2.37,2.2,0.0,0.0
2025-02-09 02:59:25.141142,0.0,15.7,76.2,2.76,0.0,0.0,0.0
2025-02-09 03:14:25.141142,0.0,15.6,64.2,2.05,3.7,0.0,0.0
2025-02-09 03:29:25.141142,0.0,17.0,59.0,1.9,3.1,0.0,0.0
2025-02-09 03:44:25.141142,0.0,13.3,71.1,2.0,6.4,0.0,0.0
2025-02-09 03:59:25.141142,0.0,14.7,75.1,1.6,0.0,0.0,0.0
2025-02-09 04:14:25.141142,0.0,14.9,75.6,1.46,4.3,0.0,0.0
2025-02-09 04:29:25.141142,0.0,18.4,76.5,1.27,0.0,0.0,0.0
2025-02-09 04:44:25.141142,0.0,16.6,74.9,1.1,4.5,0.0,0.0
2025-02-09 04:59:25.141142,0.0,15.3,68.9,1.55,0.0,0.0,0.0
2025-02-09 05:14:25.141142,0.0,14.8,70.6,1.21,9.9,0.0,0.0
2025-02-09 05:29:25.141142,0.0,15.3,71.4,1.32,5.0,0.0,0.0
2025-02-09 05:44:25.141142,0.0,17.0,66.0,1.21,9.1,0.0,0.0
2025-02-09 05:59:25.141142,0.0,13.7,73.4,1.15,1.3,0.0,0.0
2025-02-09 06:14:25.141142,0.0,16.3,68.8,1.17,4.7,0.0,0.0
2025-02-09 06:29:25.141142,0.0,18.8,70.1,0.95,0.0,0.0,0.0
2025-02-09 06:44:25.141142,3.6,16.0,70.8,1.34,0.0,0.0,0.0
2025-02-09 06:59:25.141142,23.9,17.5,73.9,1.29,0.0,0.0,91.1
2025-02-09 07:14:25.141142,55.7,18.2,72.2,1.07,0.0,0.0,83.3
2025-02-09 07:29:25.141142,91.8,19.9,73.2,1.53,0.0,0.0,76.9
2025-02-09 07:44:25.141142,122.6,17.6,70.7,1.38,12.1,0.0,73.4
2025-02-09 07:59:25.141142,176.8,20.0,60.1,1.45,0.0,0.0,66.1
2025-02-09 08:14:25.141142,192.4,19.4,71.1,2.36,3.7,0.0,66.8
2025-02-09 08:29:25.141142,236.0,21.2,61.5,1.67,5.4,0.0,62.9
2025-02-09 08:44:25.141142,260.3,23.5,55.3,2.25,14.5,0.0,62.2
