timestamp,voltage,current,power_output,expected_power,performance_ratio,panel_temperature,inverter_temperature,ambient_temperature,irradiance,degradation_factor,is_fault,fault_id,humidity,wind_speed,dust_index,rain_index,cloud_cover
2025-02-09 01:44:25.141142,33.29,0.0,0.0,0.0,0.0,6.6,25.4,8.8,0.0,1.0,0,0,62.5,3.31,8.1,0.0,0.0
2025-02-09 01:59:25.141142,33.74,0.0,0.0,0.0,0.0,9.6,24.7,9.7,0.0,1.0,0,0,67.8,2.87,18.1,0.0,0.0
2025-02-09 02:14:25.141142,32.91,0.0,0.0,0.0,0.0,13.8,32.4,11.0,0.0,1.0,0,0,63.6,2.89,5.7,0.0,0.0
2025-02-09 02:29:25.141142,32.94,0.0,0.0,0.0,0.0,12.7,24.9,12.6,0.0,1.0,0,0,71.8,3.04,8.9,0.0,0.0
2025-02-09 02:44:25.141142,33.25,0.0,0.0,0.0,0.0,14.1,27.2,12.3,0.0,1.0,0,0,66.5,2.37,2.2,0.0,0.0
2025-02-09 02:59:25.141142,32.78,0.0,0.0,0.0,0.0,16.9,31.6,15.7,0.0,1.0,0,0,76.2,2.76,0.0,0.0,0.0
2025-02-09 03:14:25.141142,33.4,0.0,0.0,0.0,0.0,8.6,30.4,10.3,0.0,1.0,0,0,64.2,2.05,3.7,0.0,0.0
2025-02-09 03:29:25.141142,32.91,0.0,0.0,0.0,0.0,15.4,27.6,13.2,0.0,1.0,0,0,59.0,1.9,3.1,0.0,0.0
2025-02-09 03:44:25.141142,32.78,0.0,0.0,0.0,0.0,12.4,21.4,9.6,0.0,1.0,0,0,71.1,2.0,6.4,0.0,0.0
2025-02-09 03:59:25.141142,32.43,0.0,0.0,0.0,0.0,14.4,27.9,14.3,0.0,1.0,0,0,75.1,1.6,0.0,0.0,0.0
2025-02-09 04:14:25.141142,33.08,0.0,0.0,0.0,0.0,15.8,29.6,13.7,0.0,1.0,0,0,75.6,1.46,4.3,0.0,0.0
2025-02-09 04:29:25.141142,33.07,0.0,0.0,0.0,0.0,14.7,28.1,14.5,0.0,1.0,0,0,76.5,1.27,0.0,0.0,0.0
2025-02-09 04:44:25.141142,32.34,0.0,0.0,0.0,0.0,14.8,23.6,14.7,0.0,1.0,0,0,74.9,1.1,4.5,0.0,0.0
2025-02-09 04:59:25.141142,32.7,0.0,0.0,0.0,0.0,16.8,32.2,17.4,0.0,1.0,0,0,68.9,1.55,0.0,0.0,0.0
2025-02-09 05:14:25.141142,32.98,0.0,0.0,0.0,0.0,15.6,36.1,17.6,0.0,1.0,0,0,70.6,1.21,9.9,0.0,0.0
2025-02-09 05:29:25.141142,33.67,0.0,0.0,0.0,0.0,13.8,31.3,15.2,0.0,1.0,0,0,71.4,1.32,5.0,0.0,0.0
2025-02-09 05:44:25.141142,32.57,0.0,0.0,0.0,0.0,15.5,28.8,17.6,0.0,1.0,0,0,66.0,1.21,9.1,0.0,0.0
2025-02-09 05:59:25.141142,32.19,0.0,0.0,0.0,0.0,18.0,29.2,15.6,0.0,1.0,0,0,73.4,1.15,1.3,0.0,0.0
